日期,最高气温,最低气温,天气
2011-01-01,27℃,18℃,多云
2011-01-02,27℃,18℃,多云
2011-01-03,28℃,19℃,多云
2011-01-04,28℃,19℃,多云
2011-01-05,29℃,18℃,多云
2011-01-06,29℃,18℃,多云
2011-01-07,27℃,20℃,多云
2011-01-08,27℃,20℃,多云
2011-01-09,28℃,21℃,多云
2011-01-10,26℃,21℃,阵雨
2011-01-11,28℃,21℃,小到中雨
2011-01-12,25℃,20℃,多云
2011-01-13,24℃,18℃,阴
2011-01-14,23℃,17℃,多云
2011-01-15,26℃,20℃,多云
2011-01-16,27℃,20℃,多云
2011-01-26,27℃,19℃,多云
2011-01-29,24℃,18℃,多云
2011-01-30,25℃,18℃,多云
2011-01-31,25℃,18℃,多云
2011-02-01,25℃,17℃,多云
2011-02-02,24℃,19℃,多云
2011-02-03,25℃,18℃,多云
2011-02-04,27℃,19℃,多云
2011-02-05,27℃,18℃,多云
2011-02-06,27℃,17℃,多云
2011-02-07,29℃,18℃,多云
2011-02-08,28℃,18℃,多云
2011-02-09,29℃,18℃,多云
2011-02-10,29℃,22℃,多云
2011-02-11,28℃,18℃,阵雨
2011-02-12,28℃,20℃,多云
2011-02-13,26℃,19℃,阵雨
2011-02-14,25℃,18℃,阵雨
2011-02-15,25℃,19℃,阴
2011-02-16,27℃,20℃,多云
2011-02-17,28℃,21℃,多云
2011-02-18,29℃,21℃,多云
2011-02-19,28℃,21℃,多云
2011-02-20,28℃,20℃,阵雨
2011-02-21,27℃,21℃,阴
2011-02-22,27℃,22℃,多云
2011-02-23,28℃,20℃,多云
2011-02-24,28℃,21℃,多云
2011-02-25,28℃,21℃,多云
2011-02-26,28℃,22℃,多云
2011-02-27,29℃,21℃,多云
2011-02-28,29℃,21℃,多云
2011-03-01,29℃,20℃,多云
2011-03-02,28℃,20℃,多云
2011-03-03,28℃,20℃,多云
2011-03-04,28℃,22℃,多云
2011-03-05,28℃,22℃,多云
2011-03-06,29℃,21℃,多云
2011-03-07,29℃,22℃,多云~小雨
2011-03-08,28℃,21℃,小雨
2011-03-09,27℃,22℃,多云
2011-03-10,28℃,22℃,小雨
2011-03-11,28℃,22℃,多云
2011-03-12,29℃,22℃,多云
2011-03-13,29℃,22℃,多云
2011-03-14,29℃,21℃,多云
2011-03-15,29℃,20℃,多云~阵雨
2011-03-16,24℃,18℃,阵雨
2011-03-17,24℃,18℃,小雨
2011-03-18,24℃,18℃,小雨
2011-03-19,26℃,19℃,多云
2011-03-20,26℃,21℃,多云
2011-03-21,28℃,21℃,多云
2011-03-22,30℃,20℃,多云~阴
2011-03-23,28℃,20℃,多云
2011-03-24,27℃,19℃,阵雨
2011-03-25,28℃,20℃,多云
2011-03-26,27℃,19℃,多云
2011-03-27,26℃,19℃,多云
2011-03-28,26℃,18℃,多云
2011-03-29,25℃,18℃,阴
2011-03-30,26℃,19℃,多云
2011-03-31,25℃,18℃,阵雨~多云
2011-04-01,28℃,20℃,多云
2011-04-02,29℃,21℃,多云
2011-04-03,30℃,22℃,多云
2011-04-04,28℃,21℃,多云
2011-04-05,30℃,22℃,多云
2011-04-06,29℃,23℃,多云
2011-04-07,30℃,23℃,多云
2011-04-08,29℃,23℃,多云
2011-04-09,30℃,23℃,多云
2011-04-10,30℃,22℃,多云
2011-04-11,31℃,23℃,多云
2011-04-12,32℃,22℃,多云
2011-04-13,31℃,23℃,多云
2011-04-14,31℃,23℃,多云
2011-04-15,31℃,23℃,多云
2011-04-16,31℃,25℃,多云
2011-04-17,30℃,26℃,多云~阵雨
2011-04-18,29℃,23℃,阵雨
2011-04-19,31℃,25℃,多云
2011-04-20,32℃,25℃,多云
2011-04-21,31℃,23℃,多云
2011-04-22,31℃,23℃,多云
2011-04-23,31℃,23℃,阵雨
2011-04-24,30℃,24℃,阵雨~多云
2011-04-25,31℃,23℃,多云
2011-04-26,31℃,25℃,多云
2011-04-27,31℃,25℃,多云
2011-04-28,31℃,25℃,雷阵雨
2011-04-29,31℃,26℃,多云
2011-04-30,31℃,27℃,多云
2011-05-01,32℃,26℃,多云
2011-05-02,32℃,26℃,多云
2011-05-03,32℃,26℃,多云
2011-05-04,32℃,26℃,多云
2011-05-05,32℃,25℃,多云
2011-05-06,33℃,26℃,多云
2011-05-07,33℃,26℃,多云
2011-05-08,33℃,27℃,多云
2011-05-09,33℃,28℃,多云
2011-05-10,33℃,28℃,多云
2011-06-01,32℃,26℃,阵雨
2011-06-02,33℃,26℃,多云
2011-06-03,33℃,27℃,多云~阵雨
2011-06-04,33℃,26℃,阵雨
2011-06-05,33℃,27℃,雷阵雨
2011-06-06,33℃,27℃,多云~阵雨
2011-06-07,33℃,28℃,多云
2011-06-08,33℃,28℃,多云
2011-06-09,33℃,28℃,多云~阵雨
2011-06-10,34℃,28℃,雷阵雨
2011-06-11,34℃,28℃,多云~阵雨
2011-06-12,33℃,28℃,阵雨
2011-06-13,34℃,27℃,阵雨
2011-06-14,33℃,27℃,多云~阵雨
2011-06-15,33℃,28℃,多云~阵雨
2011-06-16,33℃,27℃,阵雨
2011-06-17,32℃,28℃,雷阵雨~阵雨
2011-06-18,32℃,26℃,阵雨
2011-06-19,33℃,26℃,阵雨
2011-06-20,32℃,26℃,阵雨~小到中雨
2011-06-21,32℃,26℃,阵雨
2011-06-22,32℃,27℃,阵雨
2011-06-23,32℃,26℃,小到中雨
2011-06-24,30℃,25℃,中雨~小到中雨
2011-06-25,31℃,26℃,阵雨
2011-06-26,33℃,28℃,多云
2011-06-27,32℃,27℃,多云
2011-06-28,33℃,27℃,多云
2011-06-29,32℃,26℃,阵雨~雷阵雨
2011-06-30,31℃,27℃,阵雨
2011-07-01,32℃,26℃,阵雨
2011-07-02,34℃,26℃,多云
2011-07-03,33℃,27℃,多云
2011-07-04,32℃,27℃,多云
2011-07-05,33℃,27℃,多云
2011-07-06,32℃,27℃,多云
2011-07-07,33℃,27℃,多云
2011-07-08,33℃,27℃,多云
2011-07-09,33℃,27℃,多云
2011-07-10,34℃,28℃,多云
2011-08-01,31℃,25℃,阵雨
2011-08-02,32℃,26℃,阵雨
2011-08-03,32℃,25℃,阵雨
2011-08-04,31℃,26℃,多云
2011-08-05,33℃,26℃,阵雨
2011-08-06,33℃,26℃,多云
2011-08-07,33℃,28℃,多云
2011-08-08,33℃,27℃,多云
2011-08-09,31℃,25℃,阵雨
2011-08-10,33℃,26℃,阵雨
2011-08-11,32℃,25℃,多云
2011-08-12,33℃,26℃,多云
2011-08-13,33℃,27℃,多云
2011-08-14,33℃,26℃,阵雨
2011-08-15,33℃,26℃,阵雨
2011-08-16,33℃,26℃,阵雨
2011-08-17,32℃,25℃,阵雨
2011-08-18,32℃,25℃,中雨
2011-08-19,29℃,25℃,阵雨
2011-08-20,32℃,25℃,多云
2011-08-21,33℃,26℃,多云
2011-08-22,32℃,26℃,多云
2011-08-23,32℃,26℃,多云
2011-08-24,33℃,26℃,多云
2011-08-25,33℃,26℃,多云
2011-08-26,33℃,25℃,多云
2011-08-27,33℃,26℃,多云
2011-08-28,33℃,26℃,多云~阵雨
2011-08-29,33℃,27℃,多云
2011-08-30,34℃,27℃,多云
2011-08-31,33℃,27℃,多云
2011-09-01,33℃,27℃,多云
2011-09-02,33℃,28℃,多云
2011-09-03,33℃,27℃,多云
2011-09-04,33℃,27℃,多云~阵雨
2011-09-05,33℃,27℃,雷阵雨
2011-09-06,33℃,27℃,多云
2011-09-07,33℃,26℃,多云~阵雨
2011-09-08,32℃,26℃,阵雨~雷阵雨
2011-09-09,33℃,26℃,阵雨
2011-09-10,32℃,26℃,中到大雨
2011-09-11,28℃,25℃,大到暴雨
2011-09-12,28℃,24℃,小雨~小到中雨
2011-09-13,30℃,24℃,小到中雨
2011-09-14,29℃,24℃,阵雨
2011-09-15,32℃,25℃,多云
2011-09-16,32℃,25℃,雷阵雨
2011-09-17,32℃,26℃,多云~阵雨
2011-09-18,32℃,26℃,多云~阵雨
2011-09-19,32℃,26℃,阵雨
2011-09-20,32℃,26℃,雷阵雨
2011-09-21,31℃,24℃,中到大雨
2011-09-22,28℃,24℃,中到大雨
2011-09-23,27℃,24℃,中到大雨
2011-09-24,28℃,24℃,大到暴雨
2011-09-25,27℃,23℃,大到暴雨
2011-09-26,28℃,24℃,中到大雨
2011-09-27,29℃,25℃,小到中雨~阵雨
2011-09-28,31℃,25℃,多云
2011-09-29,28℃,24℃,暴雨到大暴雨
2011-09-30,30℃,24℃,中到大雨~阵雨
2011-10-01,30℃,24℃,多云
2011-10-02,31℃,25℃,阵雨~多云
2011-10-03,30℃,24℃,阵雨~中到大雨
2011-10-04,25℃,22℃,暴雨
2011-10-05,29℃,24℃,阵雨
2011-10-06,29℃,24℃,多云
2011-10-07,29℃,24℃,小到中雨~阵雨
2011-10-08,29℃,24℃,中到大雨
2011-10-09,30℃,24℃,多云~阵雨
2011-10-10,30℃,23℃,中到大雨~中雨
2011-10-11,29℃,24℃,阵雨
2011-10-12,30℃,25℃,小到中雨
2011-10-13,30℃,25℃,阵雨
2011-10-14,31℃,25℃,多云~阵雨
2011-10-15,31℃,25℃,多云
2011-10-16,30℃,25℃,多云
2011-10-17,31℃,24℃,多云
2011-10-18,33℃,25℃,多云
2011-10-19,32℃,24℃,多云
2011-10-20,31℃,23℃,多云
2011-10-21,31℃,23℃,多云
2011-10-22,31℃,23℃,多云
2011-10-23,32℃,24℃,多云
2011-10-24,32℃,24℃,多云
2011-10-25,31℃,24℃,晴~多云
2011-10-26,31℃,25℃,多云
2011-10-27,31℃,24℃,多云
2011-10-28,30℃,25℃,多云
2011-10-29,32℃,23℃,多云
2011-10-30,31℃,24℃,多云
2011-10-31,32℃,24℃,多云
2011-11-01,30℃,24℃,多云
2011-11-02,31℃,24℃,晴~多云
2011-11-03,31℃,24℃,多云
2011-11-04,31℃,25℃,阵雨
2011-11-05,30℃,25℃,多云~阵雨
2011-11-06,30℃,24℃,中到大雨
2011-11-07,29℃,25℃,中到大雨~中雨
2011-11-08,29℃,24℃,小到中雨
2011-11-09,30℃,22℃,多云
2011-11-10,29℃,19℃,多云
2011-11-11,27℃,21℃,晴~多云
2011-11-12,29℃,22℃,多云
2011-11-13,30℃,22℃,多云
2011-11-14,29℃,22℃,多云
2011-11-15,30℃,24℃,多云
2011-11-16,31℃,25℃,多云
2011-11-17,30℃,24℃,多云~阵雨
2011-11-18,31℃,24℃,多云
2011-11-19,30℃,23℃,多云
2011-11-20,29℃,23℃,多云
2011-11-21,29℃,24℃,阵雨~多云
2011-11-22,28℃,23℃,多云
2011-11-23,28℃,23℃,多云
2011-11-24,29℃,20℃,多云~小雨
2011-11-25,27℃,21℃,小雨
2011-11-26,26℃,22℃,小雨~阵雨
2011-11-27,29℃,23℃,多云
2011-11-28,30℃,24℃,多云
2011-11-29,29℃,23℃,多云
2011-11-30,29℃,22℃,多云
2011-12-01,29℃,21℃,多云
2011-12-02,26℃,19℃,多云
2011-12-03,27℃,19℃,多云
2011-12-04,27℃,22℃,多云
2011-12-05,27℃,21℃,小雨
2011-12-06,24℃,22℃,中雨~小雨
2011-12-07,27℃,24℃,多云
2011-12-08,28℃,21℃,多云~阴
2011-12-09,28℃,18℃,多云
2011-12-10,27℃,17℃,多云
2011-12-11,25℃,16℃,多云
2011-12-12,24℃,17℃,多云
2011-12-13,26℃,18℃,多云
2011-12-14,27℃,19℃,多云
2011-12-15,26℃,22℃,阴
2011-12-16,25℃,19℃,多云
2011-12-17,25℃,18℃,多云
2011-12-18,25℃,20℃,多云
2011-12-19,27℃,19℃,多云
2011-12-20,26℃,19℃,多云
2011-12-21,26℃,19℃,多云
2011-12-22,26℃,20℃,多云
2011-12-23,24℃,18℃,多云
2011-12-24,23℃,15℃,多云
2011-12-25,22℃,14℃,多云
2011-12-26,23℃,16℃,多云
2011-12-27,24℃,19℃,多云
2011-12-28,25℃,21℃,多云
2011-12-29,27℃,21℃,晴~多云
2011-12-30,27℃,21℃,多云
2011-12-31,26℃,21℃,多云
